# Advance-chain external-call manifest — the reviewed registry behind scripts/check-advance-calls.sh.
#
# One row per external call site in the crank's file set (scripts/lib/external_call_extract.py:
# the game facade, its storage base, the advance module and every module the advance reaches).
# CLASS is the reviewed reachability judgement; the gate keeps the registry in exact
# correspondence with source and requires every CRANK-PINNED row to name a test that drives
# the callee (the file must literally mention the callee function).
#
# Roots: DegenerusGame.advanceGame -> AdvanceModule.advanceGame (every internal it reaches:
# rngGate, _finalizeRngRequest, _unlockRng, _handleGameOverPath, _consolidatePoolsAndRewardJackpots,
# _endPhase, _rewardTopAffiliate, _distributeYieldSurplus, _runSubscriberStage, the ticket batches,
# _autoStakeExcessEth, _tryRequestRng, _requestVrfWord, _afKingSubDraw, _backfillGapDays,
# _gameOverEntropy, _resolvePendingRedemption); the VRF fulfilment (rawFulfillRandomWords, which
# makes no external call); the keeper router mineFlip (advance self-call, _autoOpen/_openAfkingBox,
# openHumanBoxes, _crapsKeep under try). Module roots: Mint.processTicketBatch/processFutureTicketBatch,
# Afking.processSubscriberStage, Jackpot.payDailyJackpot/payDailyJackpotCoinAndTickets/payDailyFlipJackpot/
# distributeYieldSurplus, GameOver.handleGameOverDrain/handleFinalSweep, the facade self-calls
# runBafJackpot/runDecimatorJackpot/runTerminalJackpot/runTerminalDecimatorJackpot/emitDailyWinningTraits.
#
# Classes: CRANK-PINNED (bare, on the crank, pin required) · CRANK-TRY (wrapped at the site) ·
# CRANK-CAUGHT (bare at the site, but every crank path to it crosses an upstream try/catch —
# the rationale names the catching site) · CRANK-SELF (delegatecall/self-call into own module code)
# · CRANK-POLICY (documented intentional halt) · OFF-CRANK (not reachable from any root) ·
# CRANK-UNPINNED (bare crank call with no pin yet — the gate refuses it).
#
# Columns: CLASS  callee  function  file  mode  pin  rationale
CLASS	callee	function	file	mode	pin	rationale
OFF-CRANK	delegatecall:IDegenerusGameLootboxModule.resolveLootboxDirect	_awardDecimatorLootbox	modules/DegenerusGameDecimatorModule.sol	BARE		Reached only via _claimDecimatorJackpotFor <- claimDecimatorJackpot/Many (player claims); runDecimatorJackpot never calls it
OFF-CRANK	IDegenerusGame.playerActivityScore	recordTerminalDecBurn	modules/DegenerusGameDecimatorModule.sol	BARE		Entry is FLIP.sol's player burn hook (OnlyCoin gate); not on the advance, VRF, or keeper paths
OFF-CRANK	IDegenerusGame.playerActivityScore	boostTerminalDecimator	modules/DegenerusGameDecimatorModule.sol	BARE		Permissionless player boost entry (facade boostTerminalDecimator stub); credits msg.sender
OFF-CRANK	IDegenerusAffiliate.payAffiliate	buyFoilPack	modules/DegenerusGameFoilPackModule.sol	BARE		Player purchase entry (facade buyFoilPack stub); affiliate kickback leg
OFF-CRANK	IDegenerusAffiliate.payAffiliate	buyFoilPack	modules/DegenerusGameFoilPackModule.sol	BARE		Player purchase entry (facade buyFoilPack stub); affiliate kickback leg
OFF-CRANK	ICoinflip.creditFlip	buyFoilPack	modules/DegenerusGameFoilPackModule.sol	BARE		Player purchase entry (facade buyFoilPack stub); kickback credit to the buyer
OFF-CRANK	ICoinflip.creditFlip	claimFoilMatchMany	modules/DegenerusGameFoilPackModule.sol	BARE		Player batch-claim entry (facade claimFoilMatchMany stub); caller bounty credit
OFF-CRANK	lowlevel:delegatecall	_foilSpin	modules/DegenerusGameFoilPackModule.sol	BARE		Reached only via _payFoilTier <- _tryClaimFoilMatch <- claimFoilMatch/claimFoilMatchMany (player claims); the drain path never spins
OFF-CRANK	ICoinflip.creditFlip	_foilSpin	modules/DegenerusGameFoilPackModule.sol	BARE		Reached only via _payFoilTier <- _tryClaimFoilMatch (player claims)
OFF-CRANK	IFoilWwxrp.mintPrize	_foilSpin	modules/DegenerusGameFoilPackModule.sol	BARE		Reached only via _payFoilTier <- _tryClaimFoilMatch (player claims)
OFF-CRANK	ICoinflip.creditFlip	_settleGoldenTicket	modules/DegenerusGameFoilPackModule.sol	BARE		Reached only from claimGoldenTicket (player claim entry)
CRANK-SELF	delegatecall:IDegenerusGameJackpotModule.payGoldenTicketGrand	_pushFoilGrand	modules/DegenerusGameFoilPackModule.sol	BARE		Own JACKPOT module payGoldenTicketGrand on the ticket-batch drain (processTicketBatch -> _drainFoil -> _resolveFoilBuyer); bubbles EmptyRevert
CRANK-PINNED	IStETH.balanceOf	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	BARE	test/integration/GnrusRecovery.test.js;test/integration/CharityGameHooks.test.js	Game-over drain stage of the advance (dispatch at advance:929); Lido balanceOf is a pure view, no revert surface
CRANK-PINNED	IGNRUSGameOver.burnAtGameOver	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	BARE	test/integration/CharityGameHooks.test.js;test/integration/GnrusRecovery.test.js	Game-over drain; callee onlyGame, AlreadyFinalized only on a second call and the gameOver latch makes this the single call
CRANK-PINNED	IsDGNRS.burnAtGameOver	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	BARE	test/unit/DGNRSLiquid.test.js;test/integration/CharityGameHooks.test.js	Game-over drain; callee onlyGame, returns on zero pool balance, unchecked burn, no external call
CRANK-PINNED	IFlipTombstone.tombstoneAtGameOver	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	BARE	test/fuzz/FlipTombstone.t.sol	Game-over drain; callee OnlyGame then one-shot early return, only an allowance write
CRANK-SELF	IDegenerusGame.runTerminalDecimatorJackpot	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	BARE		External self-call; facade OnlySelf stub delegatecalls own DECIMATOR module runTerminalDecimatorJackpot, bubbled on purpose
CRANK-SELF	IDegenerusGame.runTerminalJackpot	handleGameOverDrain	modules/DegenerusGameGameOverModule.sol	BARE		External self-call; facade OnlySelf stub delegatecalls own JACKPOT module runTerminalJackpot, bubbled on purpose
CRANK-PINNED	IGNRUSGameOver.onFinalSweep	handleFinalSweep	modules/DegenerusGameGameOverModule.sol	BARE	test/integration/GnrusRecovery.test.js	Post-gameover final sweep stage (dispatch at advance:788); callee onlyGame, stamps sweptAt only
CRANK-TRY	IDegenerusAdminShutdown.shutdownVrf	handleFinalSweep	modules/DegenerusGameGameOverModule.sol	TRY		Catch swallows any admin/coordinator failure on VRF subscription shutdown so the sweep still pays out
CRANK-PINNED	IStETH.balanceOf	handleFinalSweep	modules/DegenerusGameGameOverModule.sol	BARE	test/integration/GnrusRecovery.test.js	Final sweep stage; Lido balanceOf is a pure view, no revert surface
CRANK-PINNED	IStETH.transfer	_sendStethFirst	modules/DegenerusGameGameOverModule.sol	BARE	test/fuzz/FinalSweepPayoutLegs.t.sol	final-sweep payout leg to a pinned protocol receiver (VAULT/SDGNRS/GNRUS); hard-revert by policy; pinned by driving the real sweep through every leg (stETH-only, ETH-only, mixed, empty)
CRANK-PINNED	IStETH.transfer	_sendStethFirst	modules/DegenerusGameGameOverModule.sol	BARE	test/fuzz/FinalSweepPayoutLegs.t.sol	final-sweep payout leg to a pinned protocol receiver (VAULT/SDGNRS/GNRUS); hard-revert by policy; pinned by driving the real sweep through every leg (stETH-only, ETH-only, mixed, empty)
CRANK-PINNED	lowlevel:call	_sendStethFirst	modules/DegenerusGameGameOverModule.sol	BARE	test/fuzz/FinalSweepPayoutLegs.t.sol	final-sweep payout leg to a pinned protocol receiver (VAULT/SDGNRS/GNRUS); hard-revert by policy; pinned by driving the real sweep through every leg (stETH-only, ETH-only, mixed, empty)
OFF-CRANK	IVRFCoordinator.requestRandomWords	_requestVrfWord	modules/DegenerusGameGameOverModule.sol	BARE		Reached only from updateVrfCoordinatorAndSub (OnlyAdmin governance rotation); the daily VRF request lives in the advance module
CRANK-PINNED	IStETH.balanceOf	distributeYieldSurplus	modules/DegenerusGameJackpotModule.sol	BARE	test/fuzz/V56FreezeSolvency.t.sol;test/fuzz/YieldSurplusSolvency.t.sol	Yield-surplus stage of the advance (dispatch at advance:1009); Lido balanceOf is a pure view
CRANK-PINNED	ICoinflip.creditFlip	_payGoldenTicket	modules/DegenerusGameJackpotModule.sol	BARE	test/fuzz/CrapsProtocolWiring.t.sol;test/fuzz/GoldenTicketArmResolve.t.sol	Golden-ticket FLIP leg on payDailyJackpot (_resolveGoldenTicket) and the foil-drain grand; callee onlyFlipCreditors then zero-skip
CRANK-PINNED	IWwxrpMintPrize.mintPrize	_payGoldenTicket	modules/DegenerusGameJackpotModule.sol	BARE	test/gas/KeeperResolveBetWorstCaseGas.t.sol;test/fuzz/GoldenTicketArmResolve.t.sol	Golden-ticket WWXRP leg on the same paths; callee gated OnlyMinter (GAME is a minter), plain mint
CRANK-PINNED	ICoinflip.creditFlipBatch	_awardDailyCoinToTraitWinners	modules/DegenerusGameJackpotModule.sol	BARE	test/fuzz/CrapsProtocolWiring.t.sol;test/fuzz/JackpotCrapsComps.t.sol	Daily FLIP jackpot stage (payDailyFlipJackpot / CoinAndTickets -> _runFlipJackpot); batch skips zero/address(0) past onlyFlipCreditors
CRANK-PINNED	ICrapsCompPassCredit.creditPasses	_payCrapsComps	modules/DegenerusGameJackpotModule.sol	BARE	test/fuzz/JackpotCrapsComps.t.sol;test/craps/CrapsPasses.t.sol	Comp quadrant of the daily FLIP jackpot; callee OnlyGame (met under delegatecall), unchecked saturating credit, no external call
CRANK-PINNED	ICoinflip.creditFlipBatch	_awardFarFutureCoinJackpot	modules/DegenerusGameJackpotModule.sol	BARE	test/fuzz/CrapsProtocolWiring.t.sol;test/fuzz/JackpotCrapsComps.t.sol	Far-future coin leg of _runFlipJackpot; same batch callee, zero entries skipped
OFF-CRANK	ICoinflip.armRecord	beginBoxOrder	modules/DegenerusGameLootboxModule.sol	BARE		Reached only through the mint module's _lootboxLeg on player purchases; the keeper never purchases
CRANK-SELF	delegatecall:IDegenerusGameBoonModule.rollBoxBoons	_rollSingleBoxBoons	modules/DegenerusGameLootboxModule.sol	BARE		Delegatecall into own BOON module rollBoxBoons on resolveAfkingBox/resolveLootboxDirect (keeper open legs)
CRANK-PINNED	ICoinflip.creditFlip	_flushBoxAcc	modules/DegenerusGameLootboxModule.sol	BARE	test/gas/KeeperOpenBoxWorstCaseGas.t.sol;test/fuzz/CrapsProtocolWiring.t.sol	Box settlement flush on the keeper open legs (openHumanBoxes/resolveAfkingBox); zero-skipped here and in the callee past its gate
CRANK-PINNED	IWWXRP.mintPrize	_flushBoxAcc	modules/DegenerusGameLootboxModule.sol	BARE	test/gas/KeeperResolveBetWorstCaseGas.t.sol;test/fuzz/WWXRPDailyDraw.t.sol	Box settlement flush WWXRP leg; callee OnlyMinter gate, GAME is a minter, plain mint
CRANK-TRY	ICrapsPassDelivery.deliverPasses	_deliverPasses	modules/DegenerusGameLootboxModule.sol	TRY		Catch swallows any craps seat/day reservation failure (PASS_DELIVERY_GAS stipend) and falls back to a plain credit
CRANK-PINNED	ICrapsPassDelivery.creditPasses	_deliverPasses	modules/DegenerusGameLootboxModule.sol	BARE	test/fuzz/CrapsPassAwards.t.sol;test/craps/CrapsPasses.t.sol	Fallback credit inside the catch, same PASS_DELIVERY_GAS stipend; callee OnlyGame then a saturating storage write
CRANK-SELF	delegatecall:IDegenerusGameBoonModule.rollBoxBoons	_rollTierImmediate	modules/DegenerusGameLootboxModule.sol	BARE		Delegatecall into own BOON module rollBoxBoons on the openHumanBoxes leg (_openLootBoxLegWith)
CRANK-SELF	delegatecall:IDegenerusGameBoonModule.rollBoxBoonTiers	_rollBatchedTiers	modules/DegenerusGameLootboxModule.sol	BARE		Delegatecall into own BOON module rollBoxBoonTiers on the openHumanBoxes leg (_openLootBoxLegWith)
CRANK-PINNED	ICrapsPassDelivery.creditPasses	_resolvePresaleBox	modules/DegenerusGameLootboxModule.sol	BARE	test/fuzz/CrapsPassAwards.t.sol;test/craps/CrapsPasses.t.sol	Presale box resolution on the openHumanBoxes keeper leg; callee OnlyGame then saturating credit
CRANK-PINNED	IWWXRP.mintPrize	_resolvePresaleBox	modules/DegenerusGameLootboxModule.sol	BARE	test/gas/KeeperResolveBetWorstCaseGas.t.sol;test/fuzz/WWXRPDailyDraw.t.sol	Presale box WWXRP leg; callee OnlyMinter gate, plain mint
CRANK-PINNED	ICoinflip.creditFlip	_resolvePresaleBox	modules/DegenerusGameLootboxModule.sol	BARE	test/gas/KeeperOpenBoxWorstCaseGas.t.sol;test/fuzz/CrapsProtocolWiring.t.sol	Presale box FLIP leg; callee zero-skips past its creditor gate
CRANK-PINNED	IWWXRP.mintPrize	_resolvePresaleBox	modules/DegenerusGameLootboxModule.sol	BARE	test/gas/KeeperResolveBetWorstCaseGas.t.sol;test/fuzz/WWXRPDailyDraw.t.sol	Presale box WWXRP leg (second outcome band); callee OnlyMinter gate, plain mint
CRANK-PINNED	IsDGNRS.poolBalance	openHumanBoxes	modules/DegenerusGameLootboxModule.sol	BARE	test/fuzz/PresaleBoxDrain.t.sol	Presale-close sweep on the keeper open leg; sDGNRS poolBalance is a view
CRANK-PINNED	IsDGNRS.transferFromPool	openHumanBoxes	modules/DegenerusGameLootboxModule.sol	BARE	test/fuzz/PresaleBoxDrain.t.sol	Presale-close sweep; callee onlyGame, clamps to the available pool, returns 0 when empty; owner never address(0)
CRANK-PINNED	IsDGNRS.poolBalance	_presaleBoxDgnrsReward	modules/DegenerusGameLootboxModule.sol	BARE	test/fuzz/PresaleBoxDrain.t.sol	Presale DGNRS reward on the keeper open leg; poolBalance view
CRANK-PINNED	IsDGNRS.transferFromPool	_presaleBoxDgnrsReward	modules/DegenerusGameLootboxModule.sol	BARE	test/fuzz/PresaleBoxDrain.t.sol	Presale DGNRS reward; callee onlyGame, clamps to available, returns 0 when empty
OFF-CRANK	IStETH.transferFrom	resolveRedemptionLootbox	modules/DegenerusGameLootboxModule.sol	BARE		Entry is sDGNRS._claimRedemptionFor (claimRedemption/Many, player); the advance's resolveRedemptionPeriod never re-enters the game
OFF-CRANK	IStETH.transferFrom	creditRedemptionDirect	modules/DegenerusGameLootboxModule.sol	BARE		Entry is sDGNRS._claimRedemptionFor (claimRedemption/claimRedemptionMany, player)
OFF-CRANK	lowlevel:call	pullRedemptionReserve	modules/DegenerusGameLootboxModule.sol	BARE		Entry is sDGNRS._submitGamblingClaimFrom (player gambling claim); not on any crank root
OFF-CRANK	IStETH.balanceOf	pullRedemptionReserve	modules/DegenerusGameLootboxModule.sol	BARE		Entry is sDGNRS._submitGamblingClaimFrom (player gambling claim)
OFF-CRANK	IsDGNRS.pendingRedemptionEthValue	pullRedemptionReserve	modules/DegenerusGameLootboxModule.sol	BARE		Entry is sDGNRS._submitGamblingClaimFrom (player gambling claim)
CRANK-PINNED	IsDGNRS.poolBalance	_resolveLootboxRoll	modules/DegenerusGameLootboxModule.sol	BARE	test/repro/LootboxNestedDgnrsOrdering.t.sol;test/fuzz/PresaleBoxDrain.t.sol	One poolBalance staticcall per box batch on the keeper open legs; view
CRANK-SELF	delegatecall:IDegenerusGameDegeneretteModule.resolveWwxrpSpinFromBox	_callWwxrpSpin	modules/DegenerusGameLootboxModule.sol	BARE		Delegatecall into own DEGENERETTE module resolveWwxrpSpinFromBox on box resolution (keeper open legs)
CRANK-SELF	delegatecall:IDegenerusGameDegeneretteModule.resolveFlipSpinsFromBox	_callFlipSpins	modules/DegenerusGameLootboxModule.sol	BARE		Delegatecall into own DEGENERETTE module resolveFlipSpinsFromBox on box resolution (keeper open legs)
CRANK-SELF	delegatecall:IDegenerusGameDegeneretteModule.resolveEthSpinFromBox	_callEthSpin	modules/DegenerusGameLootboxModule.sol	BARE		Delegatecall into own DEGENERETTE module resolveEthSpinFromBox on box resolution (keeper open legs)
CRANK-PINNED	IsDGNRS.transferFromPool	_creditDgnrsReward	modules/DegenerusGameLootboxModule.sol	BARE	test/fuzz/PresaleBoxDrain.t.sol;test/repro/RedemptionLootboxPayableForward.t.sol	DGNRS reward on box resolution (keeper open legs); callee onlyGame, clamps to the pool, returns 0 when empty
CRANK-SELF	delegatecall:IDegenerusGameFoilPackModule.processFoilDrain	_drainFoil	modules/DegenerusGameMintModule.sol	BARE		Delegatecall into own FOILPACK module processFoilDrain on processTicketBatch (advance ticket stage)
OFF-CRANK	ICoinflip.creditFlip	_redeemFlipFor	modules/DegenerusGameMintModule.sol	BARE		Player redeemFlip entry (facade stub); quest reward credit
OFF-CRANK	IDegenerusCoin.burnCoinForSalvage	sellFarFutureEntries	modules/DegenerusGameMintModule.sol	BARE		Player sellFarFutureEntries entry (facade stub); salvage burn
OFF-CRANK	ICoinflip.creditFlip	sellFarFutureEntries	modules/DegenerusGameMintModule.sol	BARE		Player sellFarFutureEntries entry (facade stub); salvage credit
OFF-CRANK	lowlevel:delegatecall	_lootboxLeg	modules/DegenerusGameMintModule.sol	BARE		Reached from _quoteBoxOrder/_purchaseForWithCached on player purchase entries; the keeper's autoBuy never enters the mint module
OFF-CRANK	ICoinflip.armRecord	_purchaseForWithCached	modules/DegenerusGameMintModule.sol	BARE		Player purchase path (_purchaseFor/_purchaseForWith/buyLootboxAndPresaleBox)
OFF-CRANK	IDegenerusQuests.handlePurchase	_purchaseForWithCached	modules/DegenerusGameMintModule.sol	BARE		Player purchase path; quest purchase hook
OFF-CRANK	IDegenerusAffiliate.payAffiliateCombined	_purchaseForWithCached	modules/DegenerusGameMintModule.sol	BARE		Player purchase path; affiliate settlement
OFF-CRANK	ICoinflip.creditFlipPair	_purchaseForWithCached	modules/DegenerusGameMintModule.sol	BARE		Player purchase path; affiliate/buyer credit pair
OFF-CRANK	delegatecall:IDegenerusGameBoonModule.consumePurchaseBoost	_callTicketPurchase	modules/DegenerusGameMintModule.sol	BARE		Reached from _redeemFlipFor/_purchaseForWithCached (player redeemFlip/purchase); own BOON module consumePurchaseBoost
OFF-CRANK	IDegenerusCoin.burnCoin	_coinReceive	modules/DegenerusGameMintModule.sol	BARE		Reached from _callTicketPurchase on coin-paid player purchases
OFF-CRANK	IDegenerusAffiliate.payAffiliate	purchaseWhalePass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseWhalePass entry (facade stub); affiliate leg
OFF-CRANK	IDegenerusAffiliate.payAffiliate	purchaseWhalePass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseWhalePass entry (facade stub); affiliate leg
OFF-CRANK	ICoinflip.creditFlip	purchaseWhalePass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseWhalePass entry; kickback credit
OFF-CRANK	ICrapsPassCredit.creditPasses	purchaseWhalePass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseWhalePass entry; pass grant
OFF-CRANK	IDegenerusAffiliate.payAffiliate	purchaseLazyPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseLazyPass entry (facade stub); affiliate leg
OFF-CRANK	IDegenerusAffiliate.payAffiliate	purchaseLazyPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseLazyPass entry (facade stub); affiliate leg
OFF-CRANK	ICoinflip.creditFlip	purchaseLazyPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseLazyPass entry; kickback credit
OFF-CRANK	IDegenerusAffiliate.payAffiliate	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseDeityPass entry (facade stub); affiliate leg
OFF-CRANK	IDegenerusDeityPassMint.mint	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseDeityPass entry; pass NFT mint
OFF-CRANK	IDegenerusAffiliate.getReferrer	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseDeityPass entry; referrer lookup (view)
OFF-CRANK	IDegenerusAffiliate.getReferrer	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseDeityPass entry; upline lookup (view)
OFF-CRANK	IDegenerusAffiliate.getReferrer	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseDeityPass entry; second upline lookup (view)
OFF-CRANK	ICrapsPassCredit.creditPasses	purchaseDeityPass	modules/DegenerusGameWhaleModule.sol	BARE		Player purchaseDeityPass entry; pass grant
OFF-CRANK	IsDGNRS.poolBalance	_rewardWhalePassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseWhalePass (player)
OFF-CRANK	IsDGNRS.transferFromPool	_rewardWhalePassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseWhalePass (player)
OFF-CRANK	IsDGNRS.poolBalance	_rewardDeityPassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseDeityPass (player)
OFF-CRANK	IsDGNRS.transferFromPool	_rewardDeityPassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseDeityPass (player)
OFF-CRANK	IsDGNRS.poolBalance	_rewardDeityPassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseDeityPass (player)
OFF-CRANK	IsDGNRS.transferFromPool	_rewardDeityPassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseDeityPass (player)
OFF-CRANK	IsDGNRS.transferFromPool	_rewardDeityPassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseDeityPass (player)
OFF-CRANK	IsDGNRS.transferFromPool	_rewardDeityPassDgnrs	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from purchaseDeityPass (player)
OFF-CRANK	delegatecall:IDegenerusGameLootboxModule.recordCoverBox	_recordLootboxEntry	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from the three pass purchases (player); own LOOTBOX module recordCoverBox
OFF-CRANK	IAFKingSeatMint.mintSeatFor	_grantSeatCoin	modules/DegenerusGameWhaleModule.sol	BARE		Reached only from the three pass purchases (player); claimWhalePass never calls it
OFF-CRANK	IDegenerusAffiliate.claim	subscribe	modules/GameAfkingModule.sol	BARE		Player subscribe entry (self-consent or operator approval); affiliate drain leg
OFF-CRANK	ISeatToken.balanceOf	subscribe	modules/GameAfkingModule.sol	BARE		Player subscribe entry; seat balance view
OFF-CRANK	IDegenerusQuests.beginAfking	subscribe	modules/GameAfkingModule.sol	BARE		Player subscribe entry; quest afking start
OFF-CRANK	IQuestCompletionView.questCompletionToday	subscribe	modules/GameAfkingModule.sol	BARE		Player subscribe entry; quest completion view
CRANK-SELF	delegatecall:IDegenerusGameLootboxModule.recordCoverBox	_recordAfkingCoverBox	modules/GameAfkingModule.sol	BARE		Delegatecall into own LOOTBOX module recordCoverBox on processSubscriberStage (_deliverAfkingBuy)
CRANK-PINNED	IDegenerusQuests.finalizeAfking	_finalizeAfking	modules/GameAfkingModule.sol	BARE	test/gas/V56AfkingGasMarginal.t.sol;test/fuzz/StreakSnapshotAndPendingFlipClamp.t.sol;test/fuzz/QuestBoonAfkingStreakLoss.t.sol	Evict leg of processSubscriberStage; callee onlyGame with idempotent early returns, no external call
OFF-CRANK	ICoinflip.creditFlip	_settlePendingFlip	modules/GameAfkingModule.sol	BARE		Called only from subscribe (cancel/re-subscribe) and claimAfkingFlip (player entries); never from the stage/evict path
CRANK-SELF	delegatecall:IDegenerusGameLootboxModule.resolveAfkingBox	_openAfkingBox	modules/GameAfkingModule.sol	BARE		Delegatecall into own LOOTBOX module resolveAfkingBox on the keeper afking open leg (mineFlip -> _autoOpen)
CRANK-SELF	IGameRouter.advanceGame	mineFlip	modules/GameAfkingModule.sol	BARE		External self-call; facade advanceGame delegatecalls own ADVANCE module; the keeper's advance leg is the crank itself
CRANK-SELF	delegatecall:IDegenerusGameLootboxModule.openHumanBoxes	mineFlip	modules/GameAfkingModule.sol	BARE		Delegatecall into own LOOTBOX module openHumanBoxes on the keeper human open leg
CRANK-PINNED	ICoinflip.creditFlip	mineFlip	modules/GameAfkingModule.sol	BARE	test/fuzz/KeeperNonBrick.t.sol;test/gas/RouterWorstCaseGas.t.sol	The single keeper bounty credit, skipped at 0; callee zero-skips past its creditor gate
CRANK-TRY	ICrapsKeeper.keepScheduled	_crapsKeep	modules/GameAfkingModule.sol	TRY		Catch swallows any craps table fault so the keeper crank still commits its advance/open work
OFF-CRANK	IDegenerusCoin.burnCoin	decurse	modules/GameAfkingModule.sol	BARE		Player decurse entry (facade stub); coin burn
OFF-CRANK	IDegenerusDeityPassOwner.ownerOf	smite	modules/GameAfkingModule.sol	BARE		Player smite entry (facade stub); deity ownership view
OFF-CRANK	IDegenerusCoin.burnCoin	smite	modules/GameAfkingModule.sol	BARE		Player smite entry (facade stub); coin burn
CRANK-SELF	delegatecall:IDegenerusGameFoilPackModule.drainRounds	_drainRounds	modules/DegenerusGameMintModule.sol	BARE		Delegatecall into own FOILPACK module drainRounds on processTicketBatch / processFutureTicketBatch (advance ticket stage seated rounds); bubbles the revert
OFF-CRANK	delegatecall:IDegenerusGameMintModule.initPerpetualTickets	initPerpetualTickets	DegenerusGame.sol	BARE		Deploy-time perpetual-ticket seeding, called once each by the VAULT and SDGNRS constructors; not on the crank
